jour,cas,cas_confirmes,cas_possibles,dc,dc_esms,dc_hosp
01/04/2020,,,,,371,
02/04/2020,,,,,884,
03/04/2020,17827,,,,1416,
04/04/2020,21348,,,,2028,
05/04/2020,22361,,,,2189,
06/04/2020,23620,,,3079,2417,662
07/04/2020,30902,,,4047,3237,810
08/04/2020,30902,,,4047,3237,810
09/04/2020,31415,,,5241,4166,1075
10/04/2020,34193,,,5809,4599,1210
11/04/2020,35864,,,6177,4889,1288
12/04/2020,37188,11958,25230,6493,5140,1353
13/04/2020,38703,12481,26222,6821,5379,1442
14/04/2020,39730,13050,26680,7099,5600,1499
15/04/2020,41657,14393,27264,8479,6524,1955
16/04/2020,56180,18967,37213,8925,6860,2065
17/04/2020,58989,20272,38717,9399,7203,2196
18/04/2020,62135,22163,39972,9816,7481,2335
19/04/2020,63336,23048,40288,10064,7649,2415
20/04/2020,64117,23668,40726,10211,7752,2459